"",pf=100
16,0.6013294496482178
17,0.6232655898783969
18,0.6148577638330545
19,0.6226268895078424
20,0.608293870711115
21,0.6388976895675397
"",10
0,0.5214177274225744
1,0.531779581239874
2,0.5302785694640884
3,0.5476861313551744
4,0.5671126972479215
5,0.572621780951005
6,0.5744309235423957
7,0.5866383636181247
8,0.5841162610605238
9,0.5813451985126848
10,0.6053636435182846
11,0.6103492650699779
12,0.6192989173287885
13,0.6315252360332594
14,0.6279089226595685
15,0.6387153002302496
16,0.646233963240462
17,0.6492776678346731
18,0.6633840242048037
19,0.6717273982201213
20,0.6717277848046583
21,0.6701123311823856
22,0.6794813137154622
"",10
0,0.5493100466863473
1,0.5565513879210868
2,0.5565616608676697
3,0.5608031558761609
4,0.5681171974583646
5,0.5699345941304097
6,0.5820405431924618
7,0.5903536033591352
8,0.5945633967288194
9,0.6042826447418762
10,0.6042200596281645
11,0.614684206163038
12,0.616653666475742
13,0.6272250289832708
14,0.6286718672636514
15,0.6279193750728244
16,0.6328823861376849
"",10
0,0.5354939467080124
1,0.5437424912733677
2,0.550334292921822
3,0.5591684722538928
4,0.5696424083544198
5,0.5773289133180113
6,0.5860947737638587
7,0.5953756987030632
8,0.6064630638975672
9,0.6141046115639824
10,0.6199320970199688
11,0.6290300698959618
12,0.6425310524211904
13,0.6489596506524224
14,0.6533418781908156
15,0.6559220343958791
16,0.6685754348222561
17,0.6780103601868634
18,0.678572633950135
19,0.6807309418260886
20,0.6816539310657266
21,0.6819193234395727
22,0.6939616602636907
23,0.6936364968066409
24,0.7006143103964056
25,0.7007894464605297
26,0.7049882268476743
27,0.718024679291982
"",10
0,0.5235539438612982
1,0.5298192925997699
2,0.5340118270811351
3,0.5412437952961915
4,0.5451410969565005
5,0.5546523483122032
6,0.5639784068884655
7,0.572862400950805
8,0.5802430262152893
9,0.5877094394250756
10,0.5991016920862544
11,0.6124658466452052
12,0.6254304245756611
13,0.6451930900719816
14,0.6549711276253158
15,0.6576719765168947
16,0.6654935064851292
17,0.6686811821260581
18,0.6732401691345589
19,0.6710168872922884
20,0.6750570171697349
21,0.6819268545308842
22,0.6739151295633152
23,0.6729876404139299
24,0.6816392017162609
25,0.6772150117570619
